segment,bucket,bucket_low,bucket_high,n,n_events,mean_price,realized_freq,bias,ci_low,ci_high,wilson_low,wilson_high,bias_se,naive_se,design_effect,t_stat,p_value,q_value,significant,underpowered
3. 25.0-45.1h,0,0.0,0.2,8714,2595,0.07229159972458114,0.07057608446178563,-0.0017155152627955053,0.06244866469433984,0.07909687694233881,0.06538573014310374,0.07614488436151033,0.004297754453171312,0.0027022157056995526,1.590455730127845,-0.39916549013860647,0.6898041280082134,0.8323205095736821,False,False
3. 25.0-45.1h,1,0.2,0.4,3864,2350,0.2890527950310559,0.2727743271221532,-0.016278467908902697,0.25515586592927886,0.2900125755925081,0.25896197072263055,0.2870380350440473,0.00881753979575646,0.007122891983602646,1.2379156971711773,-1.846146236474815,0.06499671300613621,0.12999342601227243,False,False
3. 25.0-45.1h,2,0.4,0.6000000000000001,2937,1905,0.4927204630575417,0.4964249233912155,0.0037044603336738244,0.47581233975529813,0.5166564739898518,0.478359050356821,0.5145001362759664,0.010173596449719166,0.009130457761441469,1.114248235469961,0.3641249534500735,0.7158051346860645,0.8323205095736821,False,False
3. 25.0-45.1h,3,0.6000000000000001,0.8,2923,2201,0.6949367088607595,0.7068080738966815,0.011871365035921995,0.6875404860768795,0.7256957382745549,0.6900423333018149,0.7230309462078788,0.00988613227603934,0.008347391342620681,1.1843379410717274,1.200809852068659,0.2299542399829148,0.353775753819869,False,False
3. 25.0-45.1h,4,0.8,1.0,6537,2179,0.94171791341594,0.9421753097751262,0.0004573963591861784,0.9339238337123826,0.9496814487336119,0.9362530824532106,0.9475781549182433,0.003825549697683322,0.0027834892550748997,1.3743720011523386,0.11956356480303176,0.9048399106599726,0.9524630638526027,False,False
4. 45.1-17959.2h,0,0.0,0.2,10182,5574,0.043766352386564525,0.03290119819288941,-0.010865154193675116,0.02751063171129684,0.03909015837936949,0.02960877829067346,0.03654593868041818,0.0023297529813873217,0.001713148112745844,1.3599250199407333,-4.663650730561629,3.179017136057878e-06,1.589508568028939e-05,True,False
4. 45.1-17959.2h,1,0.2,0.4,2801,2521,0.2891181720813995,0.27347375937165297,-0.015644412709746525,0.25530105611909093,0.290975902806496,0.25728513514518764,0.2902828758704668,0.009102704331013234,0.008338200374430072,1.0916869255058428,-1.7186554831233463,0.08579994364212327,0.15599989753113322,False,False
4. 45.1-17959.2h,2,0.4,0.6000000000000001,2592,1453,0.4953769290123457,0.4972993827160494,0.0019224537037037118,0.4848012917569785,0.5091568587167508,0.4780692430048158,0.516537515450163,0.006009503604906367,0.009688969781745927,0.6202417532799314,0.3199022465240147,0.7490884586163139,0.8323205095736821,False,False
4. 45.1-17959.2h,3,0.6000000000000001,0.8,2630,2447,0.6986501901140685,0.7102661596958175,0.011615969581749045,0.6917368861519687,0.7281980752289443,0.692632163023653,0.7272868098120214,0.009411064046730111,0.008795112201282988,1.0700334266750198,1.2342886547228453,0.21721393166080952,0.353775753819869,False,False
4. 45.1-17959.2h,4,0.8,1.0,6848,5771,0.939636098130841,0.9480140186915887,0.008377920560747671,0.9418096011864935,0.9536049426591471,0.9425003644984487,0.9530253181778254,0.0029595473651352054,0.0026042858530623742,1.1364141772897471,2.8308114475352992,0.004659069060164304,0.013311625886183728,True,False
